file name,value
Invoice_marked_dsp_mock_dsp_po_001_png_0_4.png,7
Invoice_marked_dsp_mock_dsp_po_001_png_0_5.png,6.66
Invoice_marked_dsp_mock_dsp_po_002_png_1_4.png,15
Invoice_marked_dsp_mock_dsp_po_002_png_1_5.png,20.00 
Invoice_marked_dsp_mock_dsp_po_003_png_1_4.png,5
Invoice_marked_dsp_mock_dsp_po_003_png_1_5.png,6.66
Invoice_marked_dsp_mock_dsp_po_004_png_3_4.png,10
Invoice_marked_dsp_mock_dsp_po_004_png_3_5.png,6.66
Invoice_marked_dsp_mock_dsp_po_005_png_0_4.png,0
Invoice_marked_dsp_mock_dsp_po_005_png_2_4.png,7
Invoice_marked_dsp_mock_dsp_po_005_png_4_4.png,0
Invoice_marked_dsp_mock_dsp_po_006_png_4_4.png,6
Invoice_marked_dsp_mock_dsp_po_006_png_5_4.png,2
Invoice_marked_dsp_mock_dsp_po_007_png_0_4.png,1
Invoice_marked_dsp_mock_dsp_po_007_png_5_4.png,1
Invoice_marked_dsp_mock_dsp_po_008_png_2_4.png,8
Invoice_marked_dsp_mock_dsp_po_008_png_2_5.png,6.60 
Invoice_marked_dsp_mock_dsp_po_009_png_2_4.png,9
Invoice_marked_dsp_mock_dsp_po_010_png_2_4.png,3
Invoice_marked_dsp_mock_dsp_po_010_png_5_4.png,5
Invoice_marked_dsp_mock_dsp_po_010_png_7_4.png,3
Invoice_marked_dsp_mock_dsp_po_010_png_9_4.png,3
Invoice_marked_dsp_mock_dsp_po_011_png_8_4.png,7
Invoice_marked_dsp_mock_dsp_po_012_png_0_4.png,5
Invoice_marked_dsp_mock_dsp_po_012_png_0_5.png,20.00 
Invoice_marked_dsp_mock_dsp_po_013_png_0_4.png,10
Invoice_marked_dsp_mock_dsp_po_014_png_0_4.png,4
Invoice_marked_dsp_mock_dsp_po_015_png_1_4.png,15
Invoice_marked_dsp_mock_dsp_po_015_png_1_5.png,4.10 
Invoice_marked_dsp_mock_dsp_po_016_png_2_4.png,2
Invoice_marked_dsp_mock_dsp_po_017_png_2_4.png,13
Invoice_marked_dsp_mock_dsp_po_018_png_0_4.png,10
Invoice_marked_dsp_mock_dsp_po_019_png_4_4.png,3
Invoice_marked_dsp_mock_dsp_po_020_png_5_4.png,9
Invoice_marked_dsp_mock_dsp_po_021_png_6_4.png,20
Invoice_marked_dsp_mock_dsp_po_021_png_6_5.png,4.10 
Invoice_marked_dsp_mock_dsp_po_022_png_4_4.png,7
Invoice_marked_dsp_mock_dsp_po_023_png_0_4.png,5
Invoice_marked_dsp_mock_dsp_po_024_png_1_4.png,7
Invoice_marked_dsp_mock_dsp_po_024_png_1_5.png,6.66
Invoice_marked_dsp_mock_dsp_po_025_png_2_4.png,10
Invoice_marked_dsp_mock_dsp_po_025_png_2_5.png,6.66
Invoice_marked_dsp_mock_dsp_po_026_png_0_4.png,10
Invoice_marked_dsp_mock_dsp_po_027_png_0_4.png,10
Invoice_marked_dsp_mock_dsp_po_028_png_2_4.png,10
Invoice_marked_dsp_mock_dsp_po_028_png_2_5.png,4.10 
Invoice_marked_dsp_mock_dsp_po_029_png_2_4.png,4
Invoice_marked_dsp_mock_dsp_po_030_png_5_4.png,4
Invoice_marked_dsp_mock_dsp_po_031_png_5_4.png,1
Invoice_marked_dsp_mock_dsp_po_031_png_5_5.png,20.00 
Invoice_marked_dsp_mock_dsp_po_032_png_9_4.png,11
Invoice_marked_dsp_mock_dsp_po_033_png_2_4.png,2
Invoice_marked_dsp_mock_dsp_po_033_png_5_4.png,2
Invoice_marked_dsp_mock_dsp_po_034_png_0_4.png,6
Invoice_marked_dsp_mock_dsp_po_034_png_0_5.png,6.66
Invoice_marked_dsp_mock_dsp_po_035_png_1_4.png,8
