file_name,category,source_no,input_img,output_text
Invoice_marked_dsp_mock_dsp_po_001_png_0_4.png,dsp,001,cut imgs/Invoice_marked_dsp_mock_dsp_po_001_png_0_4.png,7
Invoice_marked_dsp_mock_dsp_po_001_png_0_5.png,dsp,001,cut imgs/Invoice_marked_dsp_mock_dsp_po_001_png_0_5.png,6.66
Invoice_marked_dsp_mock_dsp_po_002_png_1_4.png,dsp,002,cut imgs/Invoice_marked_dsp_mock_dsp_po_002_png_1_4.png,15
Invoice_marked_dsp_mock_dsp_po_002_png_1_5.png,dsp,002,cut imgs/Invoice_marked_dsp_mock_dsp_po_002_png_1_5.png,20.00
Invoice_marked_dsp_mock_dsp_po_003_png_1_4.png,dsp,003,cut imgs/Invoice_marked_dsp_mock_dsp_po_003_png_1_4.png,5
Invoice_marked_dsp_mock_dsp_po_003_png_1_5.png,dsp,003,cut imgs/Invoice_marked_dsp_mock_dsp_po_003_png_1_5.png,6.66
Invoice_marked_dsp_mock_dsp_po_004_png_3_4.png,dsp,004,cut imgs/Invoice_marked_dsp_mock_dsp_po_004_png_3_4.png,10
Invoice_marked_dsp_mock_dsp_po_004_png_3_5.png,dsp,004,cut imgs/Invoice_marked_dsp_mock_dsp_po_004_png_3_5.png,6.66
Invoice_marked_dsp_mock_dsp_po_005_png_0_4.png,dsp,005,cut imgs/Invoice_marked_dsp_mock_dsp_po_005_png_0_4.png,0
Invoice_marked_dsp_mock_dsp_po_005_png_2_4.png,dsp,005,cut imgs/Invoice_marked_dsp_mock_dsp_po_005_png_2_4.png,7
Invoice_marked_dsp_mock_dsp_po_005_png_4_4.png,dsp,005,cut imgs/Invoice_marked_dsp_mock_dsp_po_005_png_4_4.png,0
Invoice_marked_dsp_mock_dsp_po_006_png_4_4.png,dsp,006,cut imgs/Invoice_marked_dsp_mock_dsp_po_006_png_4_4.png,6
Invoice_marked_dsp_mock_dsp_po_006_png_5_4.png,dsp,006,cut imgs/Invoice_marked_dsp_mock_dsp_po_006_png_5_4.png,2
Invoice_marked_dsp_mock_dsp_po_007_png_0_4.png,dsp,007,cut imgs/Invoice_marked_dsp_mock_dsp_po_007_png_0_4.png,1
Invoice_marked_dsp_mock_dsp_po_007_png_5_4.png,dsp,007,cut imgs/Invoice_marked_dsp_mock_dsp_po_007_png_5_4.png,1
Invoice_marked_dsp_mock_dsp_po_008_png_2_4.png,dsp,008,cut imgs/Invoice_marked_dsp_mock_dsp_po_008_png_2_4.png,8
Invoice_marked_dsp_mock_dsp_po_008_png_2_5.png,dsp,008,cut imgs/Invoice_marked_dsp_mock_dsp_po_008_png_2_5.png,6.60
Invoice_marked_dsp_mock_dsp_po_009_png_2_4.png,dsp,009,cut imgs/Invoice_marked_dsp_mock_dsp_po_009_png_2_4.png,9
Invoice_marked_dsp_mock_dsp_po_010_png_2_4.png,dsp,010,cut imgs/Invoice_marked_dsp_mock_dsp_po_010_png_2_4.png,3
Invoice_marked_dsp_mock_dsp_po_010_png_5_4.png,dsp,010,cut imgs/Invoice_marked_dsp_mock_dsp_po_010_png_5_4.png,5
Invoice_marked_dsp_mock_dsp_po_010_png_7_4.png,dsp,010,cut imgs/Invoice_marked_dsp_mock_dsp_po_010_png_7_4.png,3
Invoice_marked_dsp_mock_dsp_po_010_png_9_4.png,dsp,010,cut imgs/Invoice_marked_dsp_mock_dsp_po_010_png_9_4.png,3
Invoice_marked_dsp_mock_dsp_po_011_png_8_4.png,dsp,011,cut imgs/Invoice_marked_dsp_mock_dsp_po_011_png_8_4.png,7
Invoice_marked_dsp_mock_dsp_po_012_png_0_4.png,dsp,012,cut imgs/Invoice_marked_dsp_mock_dsp_po_012_png_0_4.png,5
Invoice_marked_dsp_mock_dsp_po_012_png_0_5.png,dsp,012,cut imgs/Invoice_marked_dsp_mock_dsp_po_012_png_0_5.png,20.00
Invoice_marked_dsp_mock_dsp_po_013_png_0_4.png,dsp,013,cut imgs/Invoice_marked_dsp_mock_dsp_po_013_png_0_4.png,10
Invoice_marked_dsp_mock_dsp_po_014_png_0_4.png,dsp,014,cut imgs/Invoice_marked_dsp_mock_dsp_po_014_png_0_4.png,4
Invoice_marked_dsp_mock_dsp_po_015_png_1_4.png,dsp,015,cut imgs/Invoice_marked_dsp_mock_dsp_po_015_png_1_4.png,15
Invoice_marked_dsp_mock_dsp_po_015_png_1_5.png,dsp,015,cut imgs/Invoice_marked_dsp_mock_dsp_po_015_png_1_5.png,4.10
Invoice_marked_dsp_mock_dsp_po_016_png_2_4.png,dsp,016,cut imgs/Invoice_marked_dsp_mock_dsp_po_016_png_2_4.png,2
Invoice_marked_dsp_mock_dsp_po_017_png_2_4.png,dsp,017,cut imgs/Invoice_marked_dsp_mock_dsp_po_017_png_2_4.png,13
Invoice_marked_dsp_mock_dsp_po_018_png_0_4.png,dsp,018,cut imgs/Invoice_marked_dsp_mock_dsp_po_018_png_0_4.png,10
Invoice_marked_dsp_mock_dsp_po_019_png_4_4.png,dsp,019,cut imgs/Invoice_marked_dsp_mock_dsp_po_019_png_4_4.png,3
Invoice_marked_dsp_mock_dsp_po_020_png_5_4.png,dsp,020,cut imgs/Invoice_marked_dsp_mock_dsp_po_020_png_5_4.png,9
Invoice_marked_dsp_mock_dsp_po_021_png_6_4.png,dsp,021,cut imgs/Invoice_marked_dsp_mock_dsp_po_021_png_6_4.png,20
Invoice_marked_dsp_mock_dsp_po_021_png_6_5.png,dsp,021,cut imgs/Invoice_marked_dsp_mock_dsp_po_021_png_6_5.png,4.10
Invoice_marked_dsp_mock_dsp_po_022_png_4_4.png,dsp,022,cut imgs/Invoice_marked_dsp_mock_dsp_po_022_png_4_4.png,7
Invoice_marked_dsp_mock_dsp_po_023_png_0_4.png,dsp,023,cut imgs/Invoice_marked_dsp_mock_dsp_po_023_png_0_4.png,5
Invoice_marked_dsp_mock_dsp_po_024_png_1_4.png,dsp,024,cut imgs/Invoice_marked_dsp_mock_dsp_po_024_png_1_4.png,7
Invoice_marked_dsp_mock_dsp_po_024_png_1_5.png,dsp,024,cut imgs/Invoice_marked_dsp_mock_dsp_po_024_png_1_5.png,6.66
Invoice_marked_dsp_mock_dsp_po_025_png_2_4.png,dsp,025,cut imgs/Invoice_marked_dsp_mock_dsp_po_025_png_2_4.png,10
Invoice_marked_dsp_mock_dsp_po_025_png_2_5.png,dsp,025,cut imgs/Invoice_marked_dsp_mock_dsp_po_025_png_2_5.png,6.66
Invoice_marked_dsp_mock_dsp_po_026_png_0_4.png,dsp,026,cut imgs/Invoice_marked_dsp_mock_dsp_po_026_png_0_4.png,10
Invoice_marked_dsp_mock_dsp_po_027_png_0_4.png,dsp,027,cut imgs/Invoice_marked_dsp_mock_dsp_po_027_png_0_4.png,10
Invoice_marked_dsp_mock_dsp_po_029_png_2_4.png,dsp,029,cut imgs/Invoice_marked_dsp_mock_dsp_po_029_png_2_4.png,4
Invoice_marked_dsp_mock_dsp_po_030_png_5_4.png,dsp,030,cut imgs/Invoice_marked_dsp_mock_dsp_po_030_png_5_4.png,4
Invoice_marked_dsp_mock_dsp_po_031_png_5_4.png,dsp,031,cut imgs/Invoice_marked_dsp_mock_dsp_po_031_png_5_4.png,1
Invoice_marked_dsp_mock_dsp_po_031_png_5_5.png,dsp,031,cut imgs/Invoice_marked_dsp_mock_dsp_po_031_png_5_5.png,20.00
Invoice_marked_dsp_mock_dsp_po_032_png_9_4.png,dsp,032,cut imgs/Invoice_marked_dsp_mock_dsp_po_032_png_9_4.png,11
Invoice_marked_dsp_mock_dsp_po_034_png_0_4.png,dsp,034,cut imgs/Invoice_marked_dsp_mock_dsp_po_034_png_0_4.png,6
Invoice_marked_dsp_mock_dsp_po_034_png_0_5.png,dsp,034,cut imgs/Invoice_marked_dsp_mock_dsp_po_034_png_0_5.png,6.66
Invoice_marked_dsp_mock_dsp_po_035_png_1_4.png,dsp,035,cut imgs/Invoice_marked_dsp_mock_dsp_po_035_png_1_4.png,8
Invoice_marked_dsp_mock_dsp_po_035_png_1_5.png,dsp,035,cut imgs/Invoice_marked_dsp_mock_dsp_po_035_png_1_5.png,20.00
Invoice_marked_dsp_mock_dsp_po_037_png_1_4.png,dsp,037,cut imgs/Invoice_marked_dsp_mock_dsp_po_037_png_1_4.png,16
Invoice_marked_dsp_mock_dsp_po_037_png_2_4.png,dsp,037,cut imgs/Invoice_marked_dsp_mock_dsp_po_037_png_2_4.png,14
Invoice_marked_dsp_mock_dsp_po_038_png_3_4.png,dsp,038,cut imgs/Invoice_marked_dsp_mock_dsp_po_038_png_3_4.png,12
Invoice_marked_dsp_mock_dsp_po_038_png_3_5.png,dsp,038,cut imgs/Invoice_marked_dsp_mock_dsp_po_038_png_3_5.png,7.67
Invoice_marked_dsp_mock_dsp_po_039_png_0_4.png,dsp,039,cut imgs/Invoice_marked_dsp_mock_dsp_po_039_png_0_4.png,5
Invoice_marked_dsp_mock_dsp_po_039_png_0_5.png,dsp,039,cut imgs/Invoice_marked_dsp_mock_dsp_po_039_png_0_5.png,4.10
Invoice_marked_dsp_mock_dsp_po_040_png_3_4.png,dsp,040,cut imgs/Invoice_marked_dsp_mock_dsp_po_040_png_3_4.png,10
Invoice_marked_dsp_mock_dsp_po_040_png_3_5.png,dsp,040,cut imgs/Invoice_marked_dsp_mock_dsp_po_040_png_3_5.png,4.10
Invoice_marked_dsp_mock_dsp_po_041_png_5_4.png,dsp,041,cut imgs/Invoice_marked_dsp_mock_dsp_po_041_png_5_4.png,10
Invoice_marked_dsp_mock_dsp_po_041_png_6_4.png,dsp,041,cut imgs/Invoice_marked_dsp_mock_dsp_po_041_png_6_4.png,10
Invoice_marked_dsp_mock_dsp_po_042_png_4_4.png,dsp,042,cut imgs/Invoice_marked_dsp_mock_dsp_po_042_png_4_4.png,15
Invoice_marked_dsp_mock_dsp_po_042_png_4_5.png,dsp,042,cut imgs/Invoice_marked_dsp_mock_dsp_po_042_png_4_5.png,12.80
Invoice_marked_dsp_mock_dsp_po_043_png_1_4.png,dsp,043,cut imgs/Invoice_marked_dsp_mock_dsp_po_043_png_1_4.png,2
Invoice_marked_dsp_mock_dsp_po_044_png_3_4.png,dsp,044,cut imgs/Invoice_marked_dsp_mock_dsp_po_044_png_3_4.png,0
Invoice_marked_dsp_mock_dsp_po_044_png_4_4.png,dsp,044,cut imgs/Invoice_marked_dsp_mock_dsp_po_044_png_4_4.png,0
Invoice_marked_dsp_mock_dsp_po_045_png_0_4.png,dsp,045,cut imgs/Invoice_marked_dsp_mock_dsp_po_045_png_0_4.png,12
Invoice_marked_dsp_mock_dsp_po_045_png_0_5.png,dsp,045,cut imgs/Invoice_marked_dsp_mock_dsp_po_045_png_0_5.png,6.60
Invoice_marked_dsp_mock_dsp_po_046_png_0_4.png,dsp,046,cut imgs/Invoice_marked_dsp_mock_dsp_po_046_png_0_4.png,7
Invoice_marked_dsp_mock_dsp_po_046_png_1_4.png,dsp,046,cut imgs/Invoice_marked_dsp_mock_dsp_po_046_png_1_4.png,11
Invoice_marked_dsp_mock_dsp_po_047_png_2_4.png,dsp,047,cut imgs/Invoice_marked_dsp_mock_dsp_po_047_png_2_4.png,6
Invoice_marked_dsp_mock_dsp_po_048_png_2_4.png,dsp,048,cut imgs/Invoice_marked_dsp_mock_dsp_po_048_png_2_4.png,13
Invoice_marked_dsp_mock_dsp_po_049_png_2_4.png,dsp,049,cut imgs/Invoice_marked_dsp_mock_dsp_po_049_png_2_4.png,0
Invoice_marked_dsp_mock_dsp_po_049_png_2_5.png,dsp,049,cut imgs/Invoice_marked_dsp_mock_dsp_po_049_png_2_5.png,12.80
